0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:42:29 +0530] "GET /ORS4/jsp/Error_Page.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:43:53 +0530] "GET /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:43:55 +0530] "GET /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:04 +0530] "POST /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:18 +0530] "POST /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 6972
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:25 +0530] "POST /ORS4/ctl/MarksheetListCtl HTTP/1.1" 200 5460
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:28 +0530] "GET /ORS4/ctl/UserCtl HTTP/1.1" 200 7315
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:29 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:29 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:31 +0530] "GET /ORS4/ctl/UserListCtl HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:36 +0530] "POST /ORS4/ctl/UserListCtl HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:46 +0530] "POST /ORS4/ctl/UserListCtl HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:51 +0530] "GET /ORS4/ctl/CollegeListCtl HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:44:59 +0530] "POST /ORS4/ctl/CollegeListCtl HTTP/1.1" 200 5460
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:45:06 +0530] "POST /ORS4/ctl/CollegeListCtl HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:45:10 +0530] "POST /ORS4/ctl/CollegeListCtl HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:45:16 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:46:28 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6377
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:46:41 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:47:01 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:47:13 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:47:46 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:48:17 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6376
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:48:31 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6376
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:48:37 +0530] "GET /ORS4/ctl/StudentListCtl HTTP/1.1" 200 6376
0:0:0:0:0:0:0:1 - - [16/Jun/2020:17:48:43 +0530] "GET /ORS4/ctl/RoleListCtl HTTP/1.1" 200 6874
